census_block,max_age,Primary_Type,year,crimes_no
1408003,25-44,THEFT,2015,1
1408003,25-44,WEAPONS VIOLATION,2015,1
1408004,25-44,BATTERY,2015,1
1408004,25-44,BURGLARY,2015,1
1408004,25-44,NARCOTICS,2015,1
1408004,25-44,OTHER OFFENSE,2015,1
1408005,25-44,ASSAULT,2015,1
1408005,25-44,BATTERY,2015,3
1408005,25-44,BURGLARY,2015,2
1408005,25-44,CRIMINAL DAMAGE,2015,4
1408005,25-44,INTERFERENCE WITH PUBLIC OFFICER,2015,1
1408005,25-44,ROBBERY,2015,1
1408005,25-44,THEFT,2015,4
1408005,25-44,WEAPONS VIOLATION,2015,1
1502001,45-64,BATTERY,2015,5
1502001,45-64,CRIMINAL DAMAGE,2015,2
1502001,45-64,CRIMINAL TRESPASS,2015,1
1502001,45-64,DECEPTIVE PRACTICE,2014,1
1502001,45-64,MOTOR VEHICLE THEFT,2015,1
1502001,45-64,NARCOTICS,2015,2
1502001,45-64,OTHER OFFENSE,2015,1
1502001,45-64,PUBLIC PEACE VIOLATION,2015,1
1502001,45-64,THEFT,2015,4
1502002,25-44,ASSAULT,2015,1
1502002,25-44,BATTERY,2015,4
1502002,25-44,BURGLARY,2015,2
1502002,25-44,DECEPTIVE PRACTICE,2015,3
1502002,25-44,NARCOTICS,2015,2
1502002,25-44,ROBBERY,2015,1
1502002,25-44,THEFT,2015,4
1502003,45-64,BATTERY,2015,2
1502003,45-64,CRIMINAL TRESPASS,2015,2
1502003,45-64,DECEPTIVE PRACTICE,2014,1
1502003,45-64,DECEPTIVE PRACTICE,2015,1
1502003,45-64,OFFENSE INVOLVING CHILDREN,2015,1
1502003,45-64,ROBBERY,2015,1
1502003,45-64,THEFT,2015,1
1502004,25-44,ASSAULT,2015,1
1502004,25-44,BATTERY,2015,4
1502004,25-44,CRIMINAL TRESPASS,2015,1
1502004,25-44,DECEPTIVE PRACTICE,2015,2
1502004,25-44,INTIMIDATION,2015,1
1502004,25-44,MOTOR VEHICLE THEFT,2015,1
1502004,25-44,OTHER OFFENSE,2015,3
1502004,25-44,THEFT,2015,11
1502005,25-44,ASSAULT,2015,1
1502005,25-44,BATTERY,2015,1
1502005,25-44,CRIMINAL TRESPASS,2015,1
1502005,25-44,DECEPTIVE PRACTICE,2015,3
1502005,25-44,ROBBERY,2015,1
1502005,25-44,THEFT,2015,2
1503001,25-44,BATTERY,2015,3
1503001,25-44,CRIMINAL DAMAGE,2015,2
1503001,25-44,NARCOTICS,2015,1
1503001,25-44,OTHER OFFENSE,2015,1
1503001,25-44,ROBBERY,2015,1
1503002,45-64,BATTERY,2015,1
1503002,45-64,BURGLARY,2015,1
1503002,45-64,CRIMINAL DAMAGE,2015,3
1503002,45-64,MOTOR VEHICLE THEFT,2015,1
1503002,45-64,NARCOTICS,2015,1
1503002,45-64,THEFT,2015,3
1503003,25-44,ASSAULT,2015,1
1503003,25-44,CRIMINAL DAMAGE,2015,1
1503004,45-64,ASSAULT,2015,2
1503004,45-64,BATTERY,2015,1
1503004,45-64,NARCOTICS,2015,2
1503004,45-64,ROBBERY,2015,1
1503004,45-64,THEFT,2015,3
1503005,45-64,ARSON,2015,1
1503005,45-64,ASSAULT,2015,1
1503005,45-64,BATTERY,2015,2
1503005,45-64,CRIMINAL TRESPASS,2015,1
1503005,45-64,MOTOR VEHICLE THEFT,2015,1
1503005,45-64,OTHER OFFENSE,2015,1
1503005,45-64,PROSTITUTION,2015,1
1503005,45-64,THEFT,2015,2
1503006,45-64,BATTERY,2015,1
1503006,45-64,CRIMINAL DAMAGE,2015,1
1503006,45-64,NARCOTICS,2015,1
1503006,45-64,THEFT,2015,3
1503007,25-44,ASSAULT,2015,1
1503007,25-44,BATTERY,2015,3
1503007,25-44,CRIMINAL DAMAGE,2015,1
1503007,25-44,MOTOR VEHICLE THEFT,2015,1
1503007,25-44,NARCOTICS,2015,4
1503007,25-44,OTHER OFFENSE,2015,1
1503007,25-44,THEFT,2015,3
1504011,45-64,BATTERY,2015,2
1504011,45-64,CRIMINAL DAMAGE,2015,1
1504011,45-64,CRIMINAL TRESPASS,2015,1
1504011,45-64,NARCOTICS,2015,2
1504011,45-64,ROBBERY,2015,1
1504011,45-64,THEFT,2015,3
1504012,5-17,BATTERY,2015,2
1504012,5-17,MOTOR VEHICLE THEFT,2015,1
1504012,5-17,NARCOTICS,2015,4
1504012,5-17,OTHER OFFENSE,2015,1
1504012,5-17,THEFT,2015,2
1504013,45-64,BATTERY,2015,1
1504013,45-64,BURGLARY,2015,1
1504013,45-64,CRIMINAL DAMAGE,2015,1
1504013,45-64,CRIMINAL TRESPASS,2015,1
1504013,45-64,DECEPTIVE PRACTICE,2015,2
1504013,45-64,NARCOTICS,2015,1
1504013,45-64,ROBBERY,2015,1
1504014,65+,BATTERY,2015,3
1504014,65+,BURGLARY,2015,1
1504014,65+,CRIMINAL DAMAGE,2015,1
1504014,65+,CRIMINAL TRESPASS,2015,1
1504014,65+,OFFENSE INVOLVING CHILDREN,2015,1
1504014,65+,THEFT,2015,4
1504021,45-64,BATTERY,2015,2
1504021,45-64,BURGLARY,2015,2
1504021,45-64,CRIMINAL DAMAGE,2015,1
1504021,45-64,CRIMINAL TRESPASS,2015,1
1504021,45-64,HOMICIDE,2008,1
1504021,45-64,NARCOTICS,2015,1
1504021,45-64,PUBLIC PEACE VIOLATION,2015,1
1504021,45-64,ROBBERY,2015,1
1504021,45-64,THEFT,2015,2
1504022,45-64,BATTERY,2015,2
1504022,45-64,BURGLARY,2015,1
1504022,45-64,CRIMINAL DAMAGE,2015,1
1504022,45-64,CRIMINAL TRESPASS,2015,1
1504022,45-64,MOTOR VEHICLE THEFT,2015,1
1504022,45-64,NARCOTICS,2015,1
1504022,45-64,OBSCENITY,2015,1
1504022,45-64,OFFENSE INVOLVING CHILDREN,2015,1
1504022,45-64,OTHER OFFENSE,2015,1
1504022,45-64,ROBBERY,2015,1
1504022,45-64,THEFT,2015,1
1504023,25-44,ASSAULT,2015,1
1504023,25-44,BATTERY,2015,3
1504023,25-44,BURGLARY,2015,1
1504023,25-44,CRIMINAL DAMAGE,2015,2
1504023,25-44,CRIMINAL TRESPASS,2015,1
1504023,25-44,MOTOR VEHICLE THEFT,2015,1
1504023,25-44,NARCOTICS,2015,3
1504023,25-44,OTHER OFFENSE,2015,2
1504023,25-44,THEFT,2015,4
1505011,25-44,CRIMINAL DAMAGE,2015,1
1505011,25-44,NARCOTICS,2015,1
1505011,25-44,OTHER OFFENSE,2015,1
1505012,45-64,CRIM SEXUAL ASSAULT,2015,1
1505012,45-64,CRIMINAL DAMAGE,2015,2
1505012,45-64,NARCOTICS,2015,1
1505012,45-64,OTHER OFFENSE,2015,1
1505012,45-64,THEFT,2015,2
1505013,25-44,BATTERY,2015,4
1505013,25-44,CRIMINAL DAMAGE,2015,3
1505013,25-44,DECEPTIVE PRACTICE,2015,1
1505013,25-44,GAMBLING,2015,1
1505013,25-44,ROBBERY,2015,1
1505013,25-44,THEFT,2015,3
1505021,25-44,ASSAULT,2015,1
1505021,25-44,BATTERY,2015,2
1505021,25-44,BURGLARY,2015,1
1505021,25-44,CRIMINAL DAMAGE,2015,1
1505021,25-44,DECEPTIVE PRACTICE,2015,1
1505021,25-44,OTHER OFFENSE,2015,2
1505021,25-44,THEFT,2015,1
1505022,25-44,BATTERY,2015,1
1505022,25-44,CRIMINAL DAMAGE,2015,1
1505022,25-44,DECEPTIVE PRACTICE,2015,2
1505022,25-44,OFFENSE INVOLVING CHILDREN,2015,1
1505022,25-44,ROBBERY,2015,1
1505022,25-44,THEFT,2015,2
1505023,25-44,ASSAULT,2015,1
1505023,25-44,CRIMINAL DAMAGE,2015,1
1505023,25-44,NARCOTICS,2015,1
1505023,25-44,ROBBERY,2015,1
1505023,25-44,THEFT,2015,3
1506001,25-44,ASSAULT,2015,1
1506001,25-44,BATTERY,2015,1
1506001,25-44,CRIMINAL DAMAGE,2015,1
1506001,25-44,NARCOTICS,2015,2
1506001,25-44,PUBLIC PEACE VIOLATION,2015,1
1506001,25-44,ROBBERY,2015,1
1506001,25-44,THEFT,2015,2
1506002,5-17,ASSAULT,2015,1
1506002,5-17,BATTERY,2015,3
1506002,5-17,CRIMINAL DAMAGE,2015,1
1506002,5-17,DECEPTIVE PRACTICE,2015,1
1506002,5-17,INTERFERENCE WITH PUBLIC OFFICER,2015,1
1506002,5-17,NARCOTICS,2015,1
1506002,5-17,ROBBERY,2015,1
1506002,5-17,THEFT,2015,3
1506003,25-44,BATTERY,2015,1
1506003,25-44,BURGLARY,2015,2
1506003,25-44,DECEPTIVE PRACTICE,2015,1
1506003,25-44,MOTOR VEHICLE THEFT,2015,1
1506003,25-44,NARCOTICS,2015,1
1506003,25-44,THEFT,2015,1
1506004,5-17,CRIMINAL DAMAGE,2015,2
1506004,5-17,DECEPTIVE PRACTICE,2015,1
1506004,5-17,THEFT,2015,1
1507001,45-64,ASSAULT,2015,2
1507001,45-64,BATTERY,2015,3
1507001,45-64,BURGLARY,2015,1
1507001,45-64,DECEPTIVE PRACTICE,2015,1
1507001,45-64,PUBLIC PEACE VIOLATION,2015,1
1507001,45-64,THEFT,2015,1
1507002,25-44,BATTERY,2015,1
1507002,25-44,CRIMINAL DAMAGE,2015,1
1507002,25-44,DECEPTIVE PRACTICE,2015,1
1507002,25-44,NARCOTICS,2015,1
1507002,25-44,OTHER OFFENSE,2015,1
1507002,25-44,THEFT,2015,3
1507003,25-44,ASSAULT,2015,1
1507003,25-44,BURGLARY,2015,1
1507003,25-44,CRIMINAL DAMAGE,2015,1
1507003,25-44,NARCOTICS,2015,3
1507003,25-44,OTHER OFFENSE,2015,1
1507003,25-44,PROSTITUTION,2015,1
1507003,25-44,THEFT,2015,2
1507004,25-44,BATTERY,2015,1
1507004,25-44,CRIMINAL DAMAGE,2015,1
1507004,25-44,PUBLIC PEACE VIOLATION,2015,1
1507004,25-44,THEFT,2015,3
1508001,45-64,CRIMINAL DAMAGE,2015,3
1508001,45-64,MOTOR VEHICLE THEFT,2015,1
1508001,45-64,ROBBERY,2015,1
1508001,45-64,THEFT,2015,3
1508002,25-44,ASSAULT,2015,1
1508002,25-44,BURGLARY,2015,1
1508002,25-44,MOTOR VEHICLE THEFT,2015,1
1508002,25-44,NARCOTICS,2015,2
1508002,25-44,OTHER OFFENSE,2015,1
1508003,25-44,BATTERY,2015,1
1508003,25-44,BURGLARY,2015,1
1508003,25-44,CRIMINAL TRESPASS,2015,2
1508003,25-44,NARCOTICS,2015,2
1508003,25-44,OTHER OFFENSE,2015,1
1508003,25-44,THEFT,2015,2
1508004,25-44,ASSAULT,2015,1
1508004,25-44,BATTERY,2015,1
1508004,25-44,MOTOR VEHICLE THEFT,2015,1
1508004,25-44,NARCOTICS,2015,1
1508005,25-44,ASSAULT,2015,2
1508005,25-44,BATTERY,2015,2
1508005,25-44,CRIMINAL DAMAGE,2015,1
1508005,25-44,DECEPTIVE PRACTICE,2015,1
1508005,25-44,NARCOTICS,2015,1
1508005,25-44,ROBBERY,2015,1
1510011,25-44,BATTERY,2015,2
1510011,25-44,CRIMINAL DAMAGE,2015,1
1510011,25-44,OFFENSE INVOLVING CHILDREN,2015,1
1510011,25-44,THEFT,2015,1
1510012,5-17,BATTERY,2015,2
1510012,5-17,BURGLARY,2015,1
1510012,5-17,CRIMINAL DAMAGE,2015,1
1510021,25-44,BATTERY,2015,3
1510021,25-44,CRIMINAL DAMAGE,2014,1
1510021,25-44,CRIMINAL TRESPASS,2015,1
1510021,25-44,MOTOR VEHICLE THEFT,2015,1
1510021,25-44,ROBBERY,2015,1
1510021,25-44,THEFT,2015,2
1510022,25-44,ASSAULT,2015,1
1510022,25-44,BATTERY,2015,2
1510022,25-44,CRIMINAL DAMAGE,2015,3
1510022,25-44,OTHER OFFENSE,2015,1
1510022,25-44,THEFT,2015,2
1510023,25-44,ASSAULT,2015,1
1510023,25-44,BATTERY,2015,1
1510023,25-44,CRIMINAL DAMAGE,2015,1
1510024,45-64,BATTERY,2015,4
1510024,45-64,BURGLARY,2015,1
1510024,45-64,THEFT,2015,2
1511001,25-44,ASSAULT,2015,1
1511001,25-44,BATTERY,2015,2
1511001,25-44,NARCOTICS,2015,2
1511001,25-44,OTHER OFFENSE,2015,1
1511001,25-44,THEFT,2015,1
1511002,25-44,BATTERY,2015,1
1511002,25-44,CRIMINAL TRESPASS,2015,1
1511002,25-44,MOTOR VEHICLE THEFT,2015,1
1511002,25-44,OTHER OFFENSE,2015,1
1511002,25-44,THEFT,2015,2
1511003,45-64,BURGLARY,2015,2
1511003,45-64,DECEPTIVE PRACTICE,2015,1
1511003,45-64,NARCOTICS,2015,2
1511003,45-64,THEFT,2015,2
1511004,25-44,ARSON,2015,1
1511004,25-44,ASSAULT,2015,2
1511004,25-44,BATTERY,2015,1
1511004,25-44,DECEPTIVE PRACTICE,2015,3
1511004,25-44,NARCOTICS,2015,1
1511004,25-44,THEFT,2015,1
1512001,25-44,ASSAULT,2015,2
1512001,25-44,BATTERY,2015,1
1512001,25-44,BURGLARY,2015,1
1512001,25-44,CRIMINAL DAMAGE,2015,1
1512001,25-44,ROBBERY,2015,1
1512001,25-44,THEFT,2015,1
1512002,25-44,ASSAULT,2015,2
1512002,25-44,BATTERY,2015,1
1512002,25-44,BURGLARY,2015,1
1512002,25-44,CRIMINAL DAMAGE,2015,1
1512002,25-44,CRIMINAL TRESPASS,2015,1
1512002,25-44,NARCOTICS,2015,1
1512002,25-44,ROBBERY,2015,1
1512002,25-44,THEFT,2015,1
1512003,25-44,BATTERY,2015,4
1512003,25-44,CRIM SEXUAL ASSAULT,2015,1
1512003,25-44,CRIMINAL DAMAGE,2015,3
1512003,25-44,CRIMINAL TRESPASS,2015,1
1512003,25-44,MOTOR VEHICLE THEFT,2015,1
1512003,25-44,NARCOTICS,2015,2
1512003,25-44,OTHER OFFENSE,2015,1
1512003,25-44,ROBBERY,2018,1
1512003,25-44,THEFT,2015,3
1601001,45-64,BATTERY,2015,1
1601001,45-64,CRIMINAL DAMAGE,2015,5
1601001,45-64,CRIMINAL TRESPASS,2015,1
1601001,45-64,MOTOR VEHICLE THEFT,2015,2
1601001,45-64,NARCOTICS,2015,1
1601001,45-64,OTHER OFFENSE,2015,3
1601001,45-64,ROBBERY,2015,1
1601001,45-64,THEFT,2015,4
1601002,25-44,BATTERY,2015,2
1601002,25-44,CRIMINAL DAMAGE,2015,1
1601002,25-44,DECEPTIVE PRACTICE,2015,4
1601002,25-44,MOTOR VEHICLE THEFT,2015,1
1601002,25-44,NARCOTICS,2015,2
1601002,25-44,THEFT,2015,3
1601002,25-44,WEAPONS VIOLATION,2015,1
1602001,45-64,ASSAULT,2015,2
1602001,45-64,CRIMINAL DAMAGE,2015,2
1602001,45-64,CRIMINAL TRESPASS,2015,1
1602001,45-64,OTHER OFFENSE,2015,1
1602001,45-64,SEX OFFENSE,2015,1
1602001,45-64,THEFT,2015,2
1602002,25-44,ASSAULT,2015,1
1602002,25-44,BATTERY,2015,1
1602002,25-44,CRIMINAL TRESPASS,2015,1
1602002,25-44,NARCOTICS,2014,1
1602002,25-44,ROBBERY,2015,1
1602002,25-44,THEFT,2015,1
1602003,25-44,ASSAULT,2015,1
1602003,25-44,CRIMINAL DAMAGE,2015,1
1602003,25-44,DECEPTIVE PRACTICE,2015,1
1602003,25-44,THEFT,2015,1
1602004,45-64,ASSAULT,2015,1
1602004,45-64,BATTERY,2015,2
1602004,45-64,CRIMINAL DAMAGE,2015,1
1602004,45-64,CRIMINAL TRESPASS,2015,1
1602004,45-64,DECEPTIVE PRACTICE,2015,2
1602004,45-64,OTHER OFFENSE,2015,1
1602004,45-64,THEFT,2015,6
1602004,45-64,WEAPONS VIOLATION,2015,1
1603001,25-44,ASSAULT,2015,2
1603001,25-44,BATTERY,2015,3
1603002,25-44,BATTERY,2015,1
1603002,25-44,CRIMINAL DAMAGE,2015,1
1603002,25-44,NARCOTICS,2015,1
1603002,25-44,OFFENSE INVOLVING CHILDREN,2015,1
1603002,25-44,PUBLIC PEACE VIOLATION,2015,1
1603002,25-44,THEFT,2015,1
1603003,25-44,BATTERY,2015,2
1603003,25-44,BURGLARY,2015,1
1603003,25-44,CRIM SEXUAL ASSAULT,2015,1
1603003,25-44,LIQUOR LAW VIOLATION,2015,1
1603003,25-44,OTHER OFFENSE,2015,1
1604001,25-44,ASSAULT,2015,1
1604001,25-44,BATTERY,2015,6
1604001,25-44,CRIMINAL DAMAGE,2018,1
1604001,25-44,CRIMINAL TRESPASS,2015,1
1604001,25-44,NARCOTICS,2015,1
1604001,25-44,ROBBERY,2015,1
1604001,25-44,THEFT,2015,5
1604002,25-44,ASSAULT,2015,1
1604002,25-44,BATTERY,2015,1
1604002,25-44,BURGLARY,2015,1
1604002,25-44,CRIMINAL DAMAGE,2015,1
1604002,25-44,CRIMINAL TRESPASS,2015,1
1604002,25-44,NARCOTICS,2015,4
1604002,25-44,ROBBERY,2015,1
1604002,25-44,STALKING,2015,1
1604002,25-44,THEFT,2014,1
1604002,25-44,THEFT,2015,7
1604003,25-44,ASSAULT,2015,1
1604003,25-44,BATTERY,2015,3
1604003,25-44,BURGLARY,2015,2
1604003,25-44,NARCOTICS,2015,1
1604003,25-44,OTHER OFFENSE,2015,1
1604003,25-44,THEFT,2015,3
1605011,25-44,ASSAULT,2015,2
1605011,25-44,BATTERY,2015,1
1605011,25-44,CRIMINAL DAMAGE,2015,2
1605011,25-44,CRIMINAL TRESPASS,2015,1
1605011,25-44,DECEPTIVE PRACTICE,2015,2
1605011,25-44,NARCOTICS,2015,1
1605012,25-44,BATTERY,2015,3
1605012,25-44,CRIMINAL DAMAGE,2015,1
1605012,25-44,MOTOR VEHICLE THEFT,2015,1
1605012,25-44,NARCOTICS,2015,1
1605012,25-44,THEFT,2015,2
1605012,25-44,WEAPONS VIOLATION,2015,1
1605021,25-44,NARCOTICS,2015,1
1605021,25-44,OTHER OFFENSE,2015,1
1605021,25-44,THEFT,2015,1
1605022,25-44,ASSAULT,2015,1
1605022,25-44,BATTERY,2015,2
1605022,25-44,CRIMINAL DAMAGE,2015,1
1605022,25-44,DECEPTIVE PRACTICE,2015,1
1605022,25-44,NARCOTICS,2015,1
1605022,25-44,OTHER OFFENSE,2015,2
1605022,25-44,THEFT,2015,5
1605023,25-44,CRIMINAL DAMAGE,2015,1
1605023,25-44,MOTOR VEHICLE THEFT,2015,1
1605023,25-44,NARCOTICS,2015,1
1605023,25-44,OTHER OFFENSE,2015,1
1605023,25-44,THEFT,2015,1
1606011,25-44,ASSAULT,2015,1
1606011,25-44,BATTERY,2015,1
1606011,25-44,NARCOTICS,2015,1
1606011,25-44,OTHER OFFENSE,2015,2
1606011,25-44,THEFT,2015,1
1606011,25-44,WEAPONS VIOLATION,2015,1
1606012,25-44,ASSAULT,2015,1
1606012,25-44,NARCOTICS,2015,1
1606012,25-44,THEFT,2015,1
1606013,25-44,ASSAULT,2015,1
1606013,25-44,BATTERY,2015,1
1606013,25-44,OTHER OFFENSE,2015,1
1606013,25-44,THEFT,2015,2
1606021,25-44,ASSAULT,2015,1
1606021,25-44,DECEPTIVE PRACTICE,2015,1
1606021,25-44,NARCOTICS,2015,1
1606021,25-44,OTHER OFFENSE,2015,1
1606021,25-44,PROSTITUTION,2015,1
1606021,25-44,PUBLIC PEACE VIOLATION,2015,1
1606021,25-44,THEFT,2015,1
1606022,25-44,BATTERY,2015,2
1606022,25-44,NARCOTICS,2015,2
1606022,25-44,THEFT,2015,1
1606023,25-44,ASSAULT,2015,1
1606023,25-44,BATTERY,2015,1
1606023,25-44,CRIMINAL DAMAGE,2015,1
1606023,25-44,NARCOTICS,2015,1
1606023,25-44,ROBBERY,2015,1
1606023,25-44,THEFT,2015,3
1607001,65+,ASSAULT,2015,1
1607001,65+,BATTERY,2015,1
1607001,65+,BURGLARY,2015,1
1607001,65+,CRIMINAL DAMAGE,2015,1
1607001,65+,WEAPONS VIOLATION,2015,1
1607002,45-64,BATTERY,2015,1
1607002,45-64,CRIMINAL DAMAGE,2015,4
1607002,45-64,OTHER OFFENSE,2015,1
1607002,45-64,THEFT,2015,1
1607003,25-44,ASSAULT,2015,1
1607003,25-44,BATTERY,2015,2
1607003,25-44,CRIMINAL DAMAGE,2015,1
1607003,25-44,THEFT,2015,3
1607004,25-44,CRIMINAL DAMAGE,2015,1
1607004,25-44,CRIMINAL TRESPASS,2015,1
1607004,25-44,NARCOTICS,2015,2
1607004,25-44,OTHER OFFENSE,2015,2
1607005,45-64,ASSAULT,2015,1
1607005,45-64,BATTERY,2015,1
1607005,45-64,DECEPTIVE PRACTICE,2015,1
1607005,45-64,MOTOR VEHICLE THEFT,2015,1
1607005,45-64,OTHER OFFENSE,2015,1
1607005,45-64,THEFT,2015,2
1608001,25-44,BATTERY,2015,3
1608001,25-44,DECEPTIVE PRACTICE,2015,2
1608001,25-44,OTHER OFFENSE,2015,1
1608001,25-44,PROSTITUTION,2015,1
1608001,25-44,ROBBERY,2015,1
1608002,25-44,CRIMINAL DAMAGE,2015,2
1608002,25-44,DECEPTIVE PRACTICE,2015,1
1608002,25-44,OTHER OFFENSE,2015,1
1608002,25-44,THEFT,2015,1
1608003,25-44,BATTERY,2015,2
1608003,25-44,NARCOTICS,2015,2
1608003,25-44,ROBBERY,2015,1
1608004,25-44,ARSON,2015,1
1608004,25-44,ASSAULT,2015,1
1608004,25-44,BATTERY,2015,4
1608004,25-44,MOTOR VEHICLE THEFT,2015,1
1608004,25-44,NARCOTICS,2015,1
1608004,25-44,PUBLIC PEACE VIOLATION,2015,1
1608004,25-44,THEFT,2015,3
1608005,25-44,ASSAULT,2015,1
1608005,25-44,BATTERY,2015,2
1608005,25-44,CRIMINAL DAMAGE,2015,1
1608005,25-44,DECEPTIVE PRACTICE,2015,1
1608005,25-44,NARCOTICS,2015,1
1608005,25-44,OTHER OFFENSE,2015,1
1608005,25-44,THEFT,2015,1
1609001,25-44,ASSAULT,2015,2
1609001,25-44,BATTERY,2015,3
1609001,25-44,BURGLARY,2015,1
1609001,25-44,CRIMINAL DAMAGE,2015,3
1609001,25-44,DECEPTIVE PRACTICE,2015,1
1609001,25-44,MOTOR VEHICLE THEFT,2015,1
1609001,25-44,NARCOTICS,2015,3
1609001,25-44,OTHER OFFENSE,2015,2
1609001,25-44,THEFT,2015,2
1609001,25-44,WEAPONS VIOLATION,2015,2
1609002,45-64,ASSAULT,2015,3
1609002,45-64,BATTERY,2015,3
1609002,45-64,CRIMINAL DAMAGE,2015,3
1609002,45-64,CRIMINAL TRESPASS,2015,1
1609002,45-64,MOTOR VEHICLE THEFT,2015,1
1609002,45-64,NARCOTICS,2015,2
1609002,45-64,OTHER OFFENSE,2015,1
1609002,45-64,PUBLIC PEACE VIOLATION,2015,1
1609002,45-64,ROBBERY,2015,1
1609002,45-64,THEFT,2015,2
1609002,45-64,WEAPONS VIOLATION,2015,1
1610001,25-44,BURGLARY,2015,1
1610001,25-44,CRIMINAL DAMAGE,2015,2
1610001,25-44,NARCOTICS,2015,2
1610001,25-44,OTHER OFFENSE,2015,1
1610001,25-44,THEFT,2015,2
1610002,25-44,ASSAULT,2015,1
1610002,25-44,BATTERY,2015,2
1610002,25-44,CRIMINAL DAMAGE,2015,1
1610002,25-44,CRIMINAL TRESPASS,2015,1
1610002,25-44,DECEPTIVE PRACTICE,2015,1
1610002,25-44,MOTOR VEHICLE THEFT,2015,1
1610002,25-44,NARCOTICS,2015,2
1610002,25-44,THEFT,2015,3
1611001,25-44,BATTERY,2015,2
1611001,25-44,BURGLARY,2015,2
1611001,25-44,DECEPTIVE PRACTICE,2015,1
1611001,25-44,MOTOR VEHICLE THEFT,2015,1
1611001,25-44,OFFENSE INVOLVING CHILDREN,2015,1
1611001,25-44,THEFT,2014,1
1611002,25-44,ASSAULT,2015,1
1611002,25-44,BATTERY,2015,1
1611002,25-44,OTHER OFFENSE,2015,1
1611002,25-44,ROBBERY,2015,1
1611002,25-44,THEFT,2015,4
1612001,45-64,BURGLARY,2015,1
1612001,45-64,CRIMINAL DAMAGE,2015,2
1612001,45-64,CRIMINAL TRESPASS,2015,2
1612001,45-64,DECEPTIVE PRACTICE,2015,1
1612001,45-64,NARCOTICS,2015,2
1612001,45-64,OTHER OFFENSE,2015,1
1612001,45-64,THEFT,2015,1
1612002,25-44,BATTERY,2015,4
1612002,25-44,BURGLARY,2015,1
1612002,25-44,CRIMINAL DAMAGE,2015,1
1612002,25-44,CRIMINAL TRESPASS,2015,1
1612002,25-44,DECEPTIVE PRACTICE,2015,1
1612002,25-44,NARCOTICS,2015,1
1612002,25-44,OTHER OFFENSE,2015,1
1612002,25-44,ROBBERY,2015,1
1612002,25-44,THEFT,2015,2
1613001,25-44,BATTERY,2015,3
1613001,25-44,CRIMINAL TRESPASS,2015,1
1613001,25-44,MOTOR VEHICLE THEFT,2015,2
1613001,25-44,NARCOTICS,2015,1
1613001,25-44,ROBBERY,2015,1
1613001,25-44,THEFT,2015,1
1613002,25-44,BATTERY,2015,1
1613002,25-44,CRIMINAL DAMAGE,2015,3
1613002,25-44,DECEPTIVE PRACTICE,2014,1
1613002,25-44,MOTOR VEHICLE THEFT,2015,1
1613002,25-44,NARCOTICS,2015,1
1613002,25-44,ROBBERY,2015,1
1613002,25-44,THEFT,2015,2
1613002,25-44,WEAPONS VIOLATION,2015,1
1613003,25-44,BATTERY,2015,2
1613003,25-44,CRIMINAL DAMAGE,2015,1
1613003,25-44,KIDNAPPING,2015,1
1613003,25-44,NARCOTICS,2015,1
1613003,25-44,ROBBERY,2015,1
1613003,25-44,THEFT,2015,3
1613004,25-44,BATTERY,2015,3
1613004,25-44,CRIMINAL DAMAGE,2015,3
1613004,25-44,CRIMINAL TRESPASS,2015,1
1613004,25-44,NARCOTICS,2015,1
1613004,25-44,ROBBERY,2015,1
1613004,25-44,THEFT,2015,2
1701001,65+,BATTERY,2015,2
1701001,65+,DECEPTIVE PRACTICE,2015,2
1701001,65+,NARCOTICS,2015,1
1702001,45-64,BATTERY,2015,2
1702001,45-64,CRIMINAL DAMAGE,2015,2
1702001,45-64,MOTOR VEHICLE THEFT,2015,1
1702001,45-64,NARCOTICS,2015,1
1702001,45-64,THEFT,2015,4
1702002,25-44,ASSAULT,2015,1
1702002,25-44,BATTERY,2015,1
1702002,25-44,CRIMINAL DAMAGE,2015,1
1702002,25-44,MOTOR VEHICLE THEFT,2015,1
1702002,25-44,OFFENSE INVOLVING CHILDREN,2015,1
1702002,25-44,OTHER OFFENSE,2015,2
1702002,25-44,THEFT,2015,1
1702002,25-44,WEAPONS VIOLATION,2015,1
1702003,45-64,ASSAULT,2015,1
1702003,45-64,BATTERY,2015,2
1702003,45-64,BURGLARY,2015,1
1702003,45-64,CRIMINAL DAMAGE,2015,3
1702003,45-64,MOTOR VEHICLE THEFT,2015,1
1702003,45-64,OFFENSE INVOLVING CHILDREN,2015,1
1702003,45-64,THEFT,2015,2
1703001,45-64,ASSAULT,2015,1
1703001,45-64,BATTERY,2015,1
1703001,45-64,CRIMINAL TRESPASS,2015,1
1703001,45-64,THEFT,2015,1
1703002,25-44,ASSAULT,2015,2
1703002,25-44,CRIMINAL DAMAGE,2015,2
1703002,25-44,NARCOTICS,2015,3
1703002,25-44,THEFT,2015,3
1703003,45-64,ASSAULT,2015,2
1703003,45-64,BATTERY,2015,1
1703003,45-64,BURGLARY,2015,1
1703003,45-64,CRIMINAL TRESPASS,2015,1
1703003,45-64,DECEPTIVE PRACTICE,2015,1
1703003,45-64,MOTOR VEHICLE THEFT,2015,1
1703003,45-64,OTHER OFFENSE,2015,1
1703003,45-64,THEFT,2015,2
1703004,45-64,ASSAULT,2015,1
1703004,45-64,BATTERY,2015,1
