rownumber,name,address,license desc,business desc,tract_block 
47598,PARAS TRADING CORP.,730 S CLARK ST 1,Package Goods,Retail Sales of Packaged Liquor,8314002059
47612,JO-KIM LOUNGE CORP.,2247 N LINCOLN AVE,Tavern,Tavern - Consumption of Liquor on Premise,1913011014
47646,JO-KIM LOUNGE CORP.,2247 N LINCOLN AVE,Late Hour,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",1913011014
47647,"4059 ARMITAGE, INC.",4059 W ARMITAGE AVE,Tavern,Tavern - Consumption of Liquor on Premise,1911003009
47654,COSTCO WHOLESALE CORPORATION,1430 S ASHLAND AVE 1,Package Goods,Retail Sales of Packaged Liquor on Sundays from 8AM - 11AM | Retail Sales of Packaged Liquor,8387002003
47661,JO-KIM LOUNGE CORP.,2247 N LINCOLN AVE,Late Hour,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",1913011014
47673,"INTERNATIONAL FOOD N - W, INC.",4404 W FULLERTON AVE,Package Goods,Retail Sales of Packaged Liquor,1912001002
47677,HAPPY CRACOVIA LOUNGE. INC.,2025 N CICERO AVE  1,Tavern,Tavern - Consumption of Liquor on Premise,1911003009
47687,JO-KIM LOUNGE CORP.,2247 N LINCOLN AVE,Late Hour,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",1913011014
47690,JO-KIM LOUNGE CORP.,2247 N LINCOLN AVE,Tavern,Tavern - Consumption of Liquor on Premise,1913011014
47707,JO-KIM LOUNGE CORP.,2247 N LINCOLN AVE,Tavern,Tavern - Consumption of Liquor on Premise,1913011014
47739,JO-KIM LOUNGE CORP.,2247 N LINCOLN AVE,Late Hour,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",1913011014
47993,LIM'S PANTRY INC,5820-5822 W NORTH AVE 1ST,Package Goods,Retail Sales of Packaged Liquor,2504004013
48004,EAST ROOM LTD.,2352-2358 N MILWAUKEE AVE 2,Late Hour,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",2212002002
48031,D A I INC,3718-3720 N CLARK ST,Tavern,Tavern - Consumption of Liquor on Premise,1704001018
48051,MIGUEL ORTEGA PINIERO,4311 W NORTH AVE 1ST,Tavern,Tavern - Consumption of Liquor on Premise,2504004013
48090,D A I INC,3718-3720 N CLARK ST,Tavern,Tavern - Consumption of Liquor on Premise,1704001018
48096,"BURGER BAR CHICAGO SOUTH LOOP, LLC",1150 S MICHIGAN AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8430002001
48199,D A I INC,3718-3720 N CLARK ST,Tavern,Tavern - Consumption of Liquor on Premise,1704001018
48204,D A I INC,3718-3720 N CLARK ST,Tavern,Tavern - Consumption of Liquor on Premise,1704001018
48223,2032 WEST ARMITAGE AVENUE LLC,2032 W ARMITAGE AVE 1ST,Tavern,Tavern - Consumption of Liquor on Premise,1911003009
48305,"WHERE'S PAPPA, INC",3759 N KEDZIE AVE  1,Tavern,Tavern - Consumption of Liquor on Premise,1704001018
48335,D A I INC,3718-3720 N CLARK ST,Tavern,Tavern - Consumption of Liquor on Premise,1704001018
48338,"OASIS MADISON, INC",1131 W MADISON ST 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2519001015
48358,THE PISOLINO CORPORATION,2755 W BELMONT AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1710002013
48411,"DANCEN GRILL RESTAURANT, INC.",5114 N LINCOLN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8318005027
48464,"ZAID CERTIFIED LIQUORS, INC.",513 E 47TH ST 1,Package Goods,Retail Sales of Packaged Liquor,8428006008
48475,D A I INC,3718-3720 N CLARK ST,Tavern,Tavern - Consumption of Liquor on Premise,1704001018
48479,D A I INC,3718-3720 N CLARK ST,Tavern,Tavern - Consumption of Liquor on Premise,1704001018
48493,D A I INC,3718-3720 N CLARK ST,Tavern,Tavern - Consumption of Liquor on Premise,1704001018
48570,D A I INC,3718-3720 N CLARK ST,Tavern,Tavern - Consumption of Liquor on Premise,1704001018
48601,"KE-KA'S, INC.",3109 W 59TH ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,6501001003
48647,D A I INC,3718-3720 N CLARK ST,Tavern,Tavern - Consumption of Liquor on Premise,1704001018
48738,"WHERE'S PAPPA, INC",3759 N KEDZIE AVE  1,Late Hour,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",1704001018
48761,D A I INC,3718-3720 N CLARK ST,Tavern,Tavern - Consumption of Liquor on Premise,1704001018
48770,PHILMANIE'S CAFECITO 3 INC.,215 E CHESTNUT ST 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2513005008
48823,D A I INC,3718-3720 N CLARK ST,Tavern,Tavern - Consumption of Liquor on Premise,1704001018
48825,D A I INC,3718-3720 N CLARK ST,Tavern,Tavern - Consumption of Liquor on Premise,1704001018
49083,"ARMANDO MEDINA, INC.",5037-5039 W DIVERSEY AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1906011004
49188,"NOWAK'S FARMERS MARKET AND LIQUORS, INC.",5259 W FULLERTON AVE 1ST,Package Goods,Retail Sales of Packaged Liquor,1907023015
49278,"JIMMY GREENS, LLC",823-825 S STATE ST 1ST,Tavern,Tavern - Consumption of Liquor on Premise,8314002059
49346,PMU INC.,3408 N CLARK ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1708002010
49400,"VILLAGE RESTAURANTS, INC.",2132 W ROSCOE ST 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1708002010
49478,"GUS MAZAN TAP, INC.",1013 N WESTERN AVE 1ST,Tavern,Tavern - Consumption of Liquor on Premise,8366001005
49639,AHJOOMAH' S APRON CORP.,218 W CERMAK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8407003019
49651,ABH FOOD & LIQUOR INC,5345 W NORTH AVE 1,Package Goods,Retail Sales of Packaged Liquor,2504004013
49657,6610 SHERIDAN CORP.,6606 N SHERIDAN RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1201002007
49668,ON TOUR BREWING COMPANY LLC,1725 W HUBBARD ST 1,Consumption on Premises - Incidental Activity,Retail Sales of General Merchandise and Non-Perishable Food | Consumption of Liquor on Premises,2430002014
49681,"COMEDYSPORTZ OF CHICAGO, INC.",929 W BELMONT AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1708003014
49774,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8429004109
49792,"SAMIL, INC.",3456 S WESTERN AVE 1,Package Goods,Retail Sales of Packaged Liquor,5801001024
49799,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8429004109
49815,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8429004109
49855,"EL MARIACHI, INC",3420 1/2 N BROADWAY  # 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1708002010
49880,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429004109
49903,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8429004109
49907,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429004109
49909,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8429004109
49935,"COOL SUSHI, CORP.",300 W ADAMS ST 1 & MEZZ,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8370001001
49964,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429004109
49984,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8429004109
49989,OASIS USA INC.,1139-1143 W GRAND AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2430002014
50007,"WHOLE FOODS MARKET GROUP, INC.",30 W HURON ST,Package Goods,Retail Sales of Packaged Liquor on Sundays from 8AM - 11AM | Retail Sales of Packaged Liquor,2315006007
50023,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8429004109
50040,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8429004109
50057,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8429004109
50061,"SOPHIA BAWANI, INC.",801 S STATE ST,Package Goods,Retail Sales of Packaged Liquor,8314002059
50072,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8429004109
50097,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429004109
50144,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429004109
50148,"WHOLE FOODS MARKET GROUP, INC.",6020 N CICERO AVE,Package Goods,Retail Sales of Packaged Liquor | Retail Sales of Packaged Liquor on Sundays from 8AM - 11AM,1201003036
50161,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429004109
50167,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429004109
50188,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429004109
50200,"RJ Liquors, Inc.",5640 W FULLERTON AVE,Package Goods,Retail Sales of Packaged Liquor,1913011003
50235,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8429004109
50285,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429004109
50299,"SELECT CUT STEAKHOUSE, INC.",2808 - 2810 N HALSTED ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8315001025
50301,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429004109
50326,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429004109
50337,"WHOLE FOODS MARKET GROUP, INC.",6020 N CICERO AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1201003036
50347,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429004109
50356,2816 1/2 HALSTED CORP.,2816 N HALSTED ST 1ST,Tavern,Tavern - Consumption of Liquor on Premise,8315001025
50358,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8429004109
50366,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8429004109
50374,"MAINSTAY MANAGEMENT, LLC",1401 S MICHIGAN AVE  BSMT/,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8429004109
50391,2265 N LINCOLN CORP,2265 N LINCOLN AVE 1ST F,Tavern,Tavern - Consumption of Liquor on Premise,1913011014
50423,"NATIONAL PASTIME, INC.",3544 N CLARK ST 2ND,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8311001000
50427,SOPHIA FOSTER,7656 S HALSTED ST 1ST,Tavern,Tavern - Consumption of Liquor on Premise,7001001029
50447,"T33, INC.",3328 N LINCOLN AVE,Tavern,Tavern - Consumption of Liquor on Premise,511001001
50456,"NINE-FIFTY, LTD.",952 W ARMITAGE AVE LOWER #,Outdoor Patio,Sale of Liquor Outdoors on Private Property,2209012006
50501,"1521 N. FREMONT RESTAURANT, LLC",1521 N FREMONT ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2504004013
50544,FULLERTON CONNECTION INC,4035 W FULLERTON AVE  W. FU,Tavern,Tavern - Consumption of Liquor on Premise,1912001002
50645,VAISHNAV DHABHA INC.,2519 W DEVON AVE 2ND,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,207021009
50648,"ARISTO FOOD & LIQUOR,  INC.",307-315 E 47TH ST,Package Goods,Retail Sales of Packaged Liquor,8428003011
50658,1964 W SHEFFIELD CORP,1964 N SHEFFIELD AVE LOWER #,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1911003009
50672,"CONNAUGHT HOMES, INC.",3259 W 111TH ST 1ST,Tavern,Tavern - Consumption of Liquor on Premise,7404003003
50688,"NINE-FIFTY, LTD.",950-952 W ARMITAGE AVE 1ST #,Tavern,Tavern - Consumption of Liquor on Premise,2209012006
50703,"NINE-FIFTY, LTD.",952 W ARMITAGE AVE LOWER #,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2209012006
50793,"WHOLE FOODS MARKET GROUP, INC.",1550 N KINGSBURY ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2504004013
50865,"LA PENA, INC.",4104 W NORTH AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2504004013
50907,P & E CORP.,6306 N WESTERN AVE,Tavern,Tavern - Consumption of Liquor on Premise,1002005011
50941,"WHOLE FOODS MARKET GROUP, INC.",1550 N KINGSBURY ST,Outdoor Patio,Sale of Liquor Outdoors on Private Property,2504004013
50959,"AMERICAN SERVICES GROUP, INC.",5834-5838 W FULLERTON AVE,Package Goods,Retail Sales of Packaged Liquor,1913011003
51007,"WHOLE FOODS MARKET GROUP, INC.",3640 N HALSTED ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1508004005
51008,"SHEF AT OAK, INC.",2934-36 N SHEFFIELD AVE 1ST,Tavern,Tavern - Consumption of Liquor on Premise,1904021029
51040,SERBIAN EASTERN ORTHODOX CHURCH-SCHOOL COMMUNITY ST. SIMEON MIROTOCIVI,3737 E 114TH ST 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,7506003024
51044,LA FLOR DE ACAPULCO INC,6021 W GRAND AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2505006010
51064,"Chicago's Pizza, Inc.",3114 N LINCOLN AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1710002013
51128,WALGREEN CO.,100 W RANDOLPH ST 1ST 101,Package Goods,Retail Sales of Packaged Liquor,2801001033
51133,"WHOLE FOODS MARKET GROUP, INC.",959 W FULLERTON AVE FIRST,Package Goods,Retail Sales of Packaged Liquor on Sundays from 8AM - 11AM | Retail Sales of Packaged Liquor,8316002006
51187,"WHOLE FOODS MARKET GROUP, INC.",3640 N HALSTED ST,Package Goods,Retail Sales of Packaged Liquor on Sundays from 8AM - 11AM | Retail Sales of Packaged Liquor,1508004005
51200,"WHOLE FOODS MARKET GROUP, INC.",1550 N KINGSBURY ST,Package Goods,Retail Sales of Packaged Liquor on Sundays from 8AM - 11AM | Retail Sales of Packaged Liquor,2504004013
51227,WALGREEN CO.,200 W ADAMS ST,Package Goods,Retail Sales of Packaged Liquor,8370001001
51258,"1412 WEST CHICAGO AVENUE, LLC",1412 W CHICAGO AVE 1ST,Caterer's Liquor License,Catering of Liquor To Events,2428001000
51286,"MUNSTER TAVERNS, INC.",3130 N BROADWAY  1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1710002013
51302,LAT'S INC. 1,1200 E 71 STREET ANNEX  1ST,Tavern,Tavern - Consumption of Liquor on Premise,6904002019
51311,"WHOLE FOODS MARKET GROUP, INC.",1101 S CANAL ST 1 107,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8430002001
51342,"WHOLE FOODS MARKET GROUP, INC.",1101 S CANAL ST 1 107,Package Goods,Retail Sales of Packaged Liquor on Sundays from 8AM - 11AM | Retail Sales of Packaged Liquor,8430002001
51349,"WHOLE FOODS MARKET GROUP, INC.",1550 N KINGSBURY ST,Outdoor Patio,Sale of Liquor Outdoors on Private Property,2504004013
51391,"TOKYO ENTERPRISES, LTD.",754-756 W WELLINGTON AVE 1ST,Tavern,Tavern - Consumption of Liquor on Premise,1904021029
51404,"WHOLE FOODS MARKET GROUP, INC.",959 W FULLERTON AVE FIRST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8316002006
51411,"WHOLE FOODS MARKET GROUP, INC.",1550 N KINGSBURY ST,Outdoor Patio,Sale of Liquor Outdoors on Private Property,2504004013
51420,"SHEF AT OAK, INC.",2934-36 N SHEFFIELD AVE 1ST,Outdoor Patio,Sale of Liquor Outdoors on Private Property,1904021029
51439,"1412 WEST CHICAGO AVENUE, LLC",1412 W CHICAGO AVE 1ST,Package Goods,Retail Sales of Packaged Liquor,2428001000
51443,"1412 WEST CHICAGO AVENUE, LLC",1412 W CHICAGO AVE 1ST,Tavern,Tavern - Consumption of Liquor on Premise,2428001000
51483,"ROBERT & ALLEN'S REGENCY INN,  INC.",5319 W DIVERSEY AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1906011004
51527,"ERIK THE RED, INC.",11050 S SPAULDING AVE 1ST,Tavern,Tavern - Consumption of Liquor on Premise,7403003015
51554,MONSIGNOR MURPHY'S INC,3019 N BROADWAY,Tavern,Tavern - Consumption of Liquor on Premise,1801001012
51555,"SARANECKI BROS. CATERING, INC.",6328-30 W IRVING PARK RD 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1703004000
51567,"SARANECKI BROS. CATERING, INC.",4720 - 4726 W ARMITAGE AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1911003009
51575,"2100 WEST IRVING PARK ROAD, INC.",2100 W IRVING PARK RD 1ST,Outdoor Patio,Sale of Liquor Outdoors on Private Property,1504021017
51585,"2100 WEST IRVING PARK ROAD, INC.",2100 W IRVING PARK RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1504021017
51618,"MANOJ & SHILPA, INC.",5952 W GRAND AVE,Package Goods,Retail Sales of Packaged Liquor,1913011037
51650,"EDGAR'S MEXICAN FOODS, INC.",4743 W GRAND AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2502001012
51697,LUCKY INN INC.,5948 W DIVERSEY AVE,Tavern,Tavern - Consumption of Liquor on Premise,1906011004
51759,MONSIGNOR MURPHY'S INC,3019 N BROADWAY,Outdoor Patio,Sale of Liquor Outdoors on Private Property,1801001012
51768,"KRUPA ENTERPRISES OF CHICAGO, INC.",5610 N KIMBALL AVE,Package Goods,Retail Sales of Packaged Liquor,1003001025
51806,"FIESTA MAGICA, INC.",4118-4120 W ARMITAGE AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1911003009
51823,"ROJAS 2459 CLUB, INC.",2457-2459 N PULASKI RD,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8316002006
51859,J & A SPORTS BAR INC.,5650 W DIVERSEY AVE,Tavern,Tavern - Consumption of Liquor on Premise,1906011004
51899,ALLIANCE OF POLISH CLUBS IN THE UNITED STATES OF AMERICA,5835 W DIVERSEY AVE 1ST,Not-For-Profit Club,"Consumption of Liquor on Premises, Not for Profit",1906011004
51911,"SARANECKI BROS. CATERING, INC.",6328-30 W IRVING PARK RD 1,Caterer's Liquor License,Catering of Liquor To Events,1703004000
51917,N & H CORPORATION,1244 W BELMONT AVE,Package Goods,Retail Sales of Packaged Liquor,1708003014
51936,"4247 W. ARMITAGE, INC.",4247 W ARMITAGE AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1911003009
51944,NORTH SHEFFIELD INC,2917 N SHEFFIELD AVE,Tavern,Tavern - Consumption of Liquor on Premise,1904021029
51949,"SARANECKI BROS. CATERING, INC.",4720 - 4726 W ARMITAGE AVE 1,Caterer's Liquor License,Catering of Liquor To Events,1911003009
51959,"POST TIME CATERING, INC.",11203 S CORLISS AVE 1,Outdoor Patio,Sale of Liquor Outdoors on Private Property,7506003004
51971,"MAISON CUISINE, INC.",324 N LEAVITT ST,Caterer's Liquor License,Catering of Liquor To Events,8368001004
51993,"VHC UPPER, LLC",203 N WABASH AVE 26,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
51995,"BROMPTON HOTEL INVESTMENTS, LLC",528 W BROMPTON AVE 1 - 4,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,603002007
52007,"VHC LOWER, LLC",203 N WABASH AVE LL - 3,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
52024,"BELMONT HOTEL INVESTMENTS, LLC",933 W BELMONT AVE 1 - 4,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1708003014
52085,"VHC LOWER, LLC",203 N WABASH AVE LL - 3,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
52115,"POST TIME CATERING, INC.",11203 S CORLISS AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,7506003004
52116,EL RANCHITO RESTAURANT CORP,2829 N MILWAUKEE AVE  1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8315001025
52146,"VHC MIDDLE, LLC",203 N WABASH AVE 25,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
52151,"IRVING SACRAMENTO, INC.",3000-3004 W IRVING PARK RD 1ST,Outdoor Patio,Sale of Liquor Outdoors on Private Property,1504021017
52156,"DOUBLE F F & B, INC.",1232 W BELMONT AVE,Outdoor Patio,Sale of Liquor Outdoors on Private Property,1708003014
52202,"DOUBLE F F & B, INC.",1232 W BELMONT AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1708003014
52219,"SURF HOTEL INVESTMENTS, LLC",555 W SURF ST 1 - 4,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8315001025
52251,"VHC LOWER, LLC",203 N WABASH AVE LL - 3,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
52259,"VHC MIDDLE, LLC",203 N WABASH AVE 25,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8378001002
52281,VIRGIN HOTELS CHICAGO LLC,203 N WABASH AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
52291,"VHC LOWER, LLC",203 N WABASH AVE LL - 3,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8378001002
52308,"IRVING SACRAMENTO, INC.",3000-3004 W IRVING PARK RD 1ST,Tavern,Tavern - Consumption of Liquor on Premise,1504021017
52313,"VHC UPPER, LLC",203 N WABASH AVE 26,Outdoor Patio,Sale of Liquor Outdoors on Private Property,8378001002
52322,"SILOM 12, INC.",1846-1848 N MILWAUKEE AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1911002014
52331,TEJASH CORPORATION,2534 W PETERSON AVE 1,Package Goods,Retail Sales of Packaged Liquor,208012000
52460,JOKES & NOTES INC.,4641 S DR MARTIN LUTHER KING JR DR 1,Tavern,Tavern - Consumption of Liquor on Premise,5804002017
52485,T.M.D. CORPORATION OF IL.,515 E 47TH ST,Tavern,Tavern - Consumption of Liquor on Premise,8428006008
52493,"SERGIO'S PLACE, INC.",6966 W NORTH AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2505007027
52533,"EL MEXICO MODERNO BALLROOM, INC.",1643-1647 N CICERO AVE 1 & 2 BANQU,Late Hour,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",2505003005
52546,CARY'S LOUNGE INCORPORATED,2251 W DEVON AVE,Tavern,Tavern - Consumption of Liquor on Premise,208024001
52556,"WLADYSLAW KOWYNIA, INC.",1551 W DIVISION ST 1ST & MEZZANINE,Tavern,Tavern - Consumption of Liquor on Premise,2507003005
52592,"BLONDIE'S LOUNGE, LTD.",4958 W DIVERSEY AVE 1ST,Tavern,Tavern - Consumption of Liquor on Premise,1906011004
52616,PONTIAC PRODUCE COMPANY,1537 N DAMEN AVE 1,Caterer's Liquor License,Catering of Liquor To Events,2504004013
52662,"EL MEXICO MODERNO BALLROOM, INC.",1643-1647 N CICERO AVE 1 & 2 BANQU,Tavern,Tavern - Consumption of Liquor on Premise,2505003005
52712,"ODB ENTERPRISES, INC.",3119 -3123 W 111TH ST 1ST,Tavern,Tavern - Consumption of Liquor on Premise,7403003020
52715,GRAND CENTRAL CORPORATION,5726 W GRAND AVE,Tavern,Tavern - Consumption of Liquor on Premise,8315002015
52743,FURIOUS SPOON LLC,1571 N MILWAUKEE AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2504004013
52759,"ONE STOP FOOD & LIQUOR STORE, INC.",4301-4323 S LAKE PARK AVE,Package Goods,Retail Sales of Packaged Liquor,5805013015
52766,GRAND CENTRAL CORPORATION,5726 W GRAND AVE,Late Hour,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",8315002015
52816,"LAWLOR'S ON 111TH STREET, INC.",3636 W 111TH ST,Tavern,Tavern - Consumption of Liquor on Premise,7403001019
52824,"PARKVIEW VILLA, INC.",6155 W FULLERTON AVE,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8316004000
52843,"SIDE BY SIDE, INC.",3345-3355 N HALSTED ST 1ST & 2ND,Tavern,Tavern - Consumption of Liquor on Premise,1708002010
52863,"SIDE BY SIDE, INC.",3345-3355 N HALSTED ST 1ST & 2ND,Outdoor Patio,Sale of Liquor Outdoors on Private Property,1708002010
52905,"AUM SHREE SAI ENTERPRISES, INC",1153 W BELMONT AVE  1ST,Package Goods,Retail Sales of Packaged Liquor,1708003014
52926,TECATITLAN INC.,1814 W CHICAGO AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2428001000
52935,"GOLDEN STAR RESTAURANT, INC.",2971 N LINCOLN AVE 1,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1904021029
52957,"J. & D. ENTERPRISES OF ILLINOIS, INC.",3160 N CLARK ST 1ST,Tavern,Tavern - Consumption of Liquor on Premise,1710002013
53124,"LAS PALMAS OF CHICAGO ON PULASKI, INC.",3243 N PULASKI RD 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,1708003014
53148,"KODRA LIQUORS, INC.",6107 - 6111 W DIVERSEY AVE 1ST,Package Goods,Retail Sales of Packaged Liquor,1906011004
53213,CJI ENTERTAINMENT LLC,2201 S WENTWORTH AVE 1 & 2,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,8407003019
53300,"LAS ISLAS MARIAS, INC.",4770 W GRAND AVE # 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,2502001012
53304,TIFFIN INC,2536 W DEVON AVE 1ST,Consumption on Premises - Incidental Activity,Consumption of Liquor on Premises,207021009
