Restaurant Name,Address,Average Yelp Review,#Pass,#Conditional,#Failed Inspection
Flat Top Stir-Fry Grill,"30 S Wabash Ave Chicago, IL 60603 Neighborhood: The Loop",4.0,14,1,2
Grace O'Malley's,"1416 S Michigan Ave (at 14th St) Chicago, IL 60605 Neighborhood: Near Southside",3.0,1,0,0
Gina's Cuisine,"424 S Wabash Ave (between Van Buren St & Congress Pky) Chicago, IL 60605 Neighborhood: The Loop",4.0,1,0,0
The Gage,"24 S Michigan Ave (between Madison St & Monroe St) Chicago, IL 60603 Neighborhood: The Loop",4.0,7,3,2
65 Asian Kitchen,"111 W Jackson Blvd Ste 1 (at Michigan Ave) Chicago, IL 60604 Neighborhood: The Loop",3.0,5,0,1
Lakefront Childrens Academy,"400 E Randolph Street Ste. 6B (at Field Blvd) Chicago, IL 60601 Neighborhood: The Loop",5.0,7,0,0
Sixty Five Chinese Restaurant,"336 N Michigan Ave (between Wacker Pl & Macchesneyer Dr) Chicago, IL 60601 Neighborhood: The Loop",3.0,2,0,0
Sbarro,"233 N Michigan Ave (between Wacker Pl & Lake St) Chicago, IL 60601 Neighborhood: The Loop",3.0,2,0,1
Oasis Cafe,"21 N Wabash Ave Chicago, IL 60602 Neighborhood: The Loop",4.0,5,2,0
South Water Kitchen,"225 N Wabash Ave Chicago, IL 60601 Neighborhood: The Loop",4.0,1,0,0
Jaffa Bakery,"201 N Clark St (between Lake St & Haddock Pl) Chicago, IL 60601 Neighborhood: The Loop",4.0,1,0,0
Starbucks,"161 N Clark St (between Randolph St & Couch Pl) Chicago, IL 60601 Neighborhood: The Loop",4.0,6,0,0
Abou Andre,"60 E Jackson Blvd (between Wabash Ave & Michigan Ave) Chicago, IL 60604 Neighborhood: The Loop",4.0,2,0,1
Harry's Sandwich Shop,"336 S Dearborn St Chicago, IL 60604 Neighborhood: The Loop",3.0,8,0,1
Qdoba Mexican Grill,"58 E Randolph St (between Garland Ct & Wabash Ave) Chicago, IL 60601 Neighborhood: The Loop",3.0,9,1,3
The Great Steak and Potato Company,"77 W Jackson Blvd (between Wabash Ave & Michigan Ave) Chicago, IL 60604 Neighborhood: The Loop",4.0,0,0,2
Starbucks,"70 W Madison St (between Garland Ct & Michigan Ave) Chicago, IL 60602 Neighborhood: The Loop",4.0,7,3,3
Gioia Candy & More,"333 S State St (between Jackson Blvd & Van Buren St) Chicago, IL 60604 Neighborhood: The Loop",4.0,9,1,0
The Southern Mac & Cheese Store,"60 E Lake St (between Wabash Ave & Dearborn St) Chicago, IL 60601 Neighborhood: The Loop",4.0,1,0,0
Starbucks,"40 W Lake St (between State St & Wabash Ave) Chicago, IL 60601 Neighborhood: The Loop",4.0,5,0,1
Which Wich,"108 North State Street, Block 37 Chicago, IL 60602 Neighborhood: The Loop",4.0,9,4,2
Walgreens,"200 W Adams St (between Wells St & Franklin St) Chicago, IL 60606 Neighborhood: The Loop",3.0,3,0,0
One North Fitness Center,"1 N Wacker Dr Ste 250 (between Madison St & State St) Chicago, IL 60606 Neighborhood: The Loop",3.0,9,2,3
Andy's Frozen Custard,"108 N State St Chicago, IL 60601 Neighborhood: The Loop",4.0,2,0,2
Hannah's Bretzel,"180 W Washington St (between La Salle St & Wells St) Chicago, IL 60602 Neighborhood: The Loop",4.0,8,0,1
W Chicago - City Center,"172 West Adams Street (between La Salle St & Wells St) Chicago, IL 60603 Neighborhood: The Loop",4.0,2,0,2
Starbucks,"100 S Wacker Dr Ste 100 (between Court Pl & Adams St) Chicago, IL 60606 Neighborhood: The Loop",5.0,7,1,0
Garrett Popcorn Shops,"27 W Jackson Blvd (between Wabash Ave & State St) Chicago, IL 60604 Neighborhood: The Loop",4.0,7,1,1
The Park Shoppe,"11 N Michigan Avenue Chicago, IL 60602 Neighborhood: The Loop",3.0,10,1,5
Square One,"1400 S Michigan Ave (at 14th St) Chicago, IL 60605 Neighborhood: Near Southside",3.0,1,0,0
