year,Census Block,Age Group,Crime Type,#Crimes
2016,1511003,45-64,CRIMINAL DAMAGE,2
2015,1511003,45-64,DECEPTIVE PRACTICE,1
2016,1511003,45-64,DECEPTIVE PRACTICE,2
2015,1511003,45-64,MOTOR VEHICLE THEFT,2
2015,1511003,45-64,NARCOTICS,1
2015,1511003,45-64,OTHER OFFENSE,1
2016,1511003,45-64,OTHER OFFENSE,1
2015,1511003,45-64,PUBLIC PEACE VIOLATION,1
2015,1511003,45-64,ROBBERY,1
2016,1511003,45-64,ROBBERY,1
2015,1511003,45-64,THEFT,1
2016,1511003,45-64,THEFT,4
2015,1512003,25-44,ASSAULT,4
2016,1512003,25-44,ASSAULT,2
2015,1512003,25-44,BATTERY,10
2016,1512003,25-44,BATTERY,4
2015,1512003,25-44,BURGLARY,2
2018,1512003,25-44,BURGLARY,1
2015,1512003,25-44,CRIMINAL DAMAGE,6
2016,1512003,25-44,CRIMINAL DAMAGE,2
2015,1512003,25-44,CRIMINAL TRESPASS,1
2015,1512003,25-44,DECEPTIVE PRACTICE,3
2015,1512003,25-44,INTERFERENCE WITH PUBLIC OFFICER,1
2015,1512003,25-44,MOTOR VEHICLE THEFT,3
2016,1512003,25-44,MOTOR VEHICLE THEFT,1
2015,1512003,25-44,NARCOTICS,6
2016,1512003,25-44,NARCOTICS,1
2016,1512003,25-44,OFFENSE INVOLVING CHILDREN,1
2015,1512003,25-44,OTHER OFFENSE,1
2016,1512003,25-44,OTHER OFFENSE,1
2015,1512003,25-44,ROBBERY,3
2016,1512003,25-44,ROBBERY,2
2015,1512003,25-44,THEFT,4
2016,1512003,25-44,THEFT,2
2015,1512003,25-44,WEAPONS VIOLATION,1
2016,1512003,25-44,WEAPONS VIOLATION,1
2015,1601002,25-44,ASSAULT,8
2016,1601002,25-44,ASSAULT,7
2015,1601002,25-44,BATTERY,27
2016,1601002,25-44,BATTERY,25
2015,1601002,25-44,BURGLARY,10
2016,1601002,25-44,BURGLARY,5
2015,1601002,25-44,CRIM SEXUAL ASSAULT,1
2016,1601002,25-44,CRIM SEXUAL ASSAULT,1
2015,1601002,25-44,CRIMINAL DAMAGE,32
2016,1601002,25-44,CRIMINAL DAMAGE,14
2015,1601002,25-44,CRIMINAL TRESPASS,4
2016,1601002,25-44,CRIMINAL TRESPASS,1
2015,1601002,25-44,DECEPTIVE PRACTICE,9
2016,1601002,25-44,DECEPTIVE PRACTICE,3
2008,1601002,25-44,HOMICIDE,1
2015,1601002,25-44,MOTOR VEHICLE THEFT,9
2016,1601002,25-44,MOTOR VEHICLE THEFT,5
2014,1601002,25-44,NARCOTICS,1
2015,1601002,25-44,NARCOTICS,6
2016,1601002,25-44,NARCOTICS,6
2015,1601002,25-44,OFFENSE INVOLVING CHILDREN,1
2016,1601002,25-44,OFFENSE INVOLVING CHILDREN,1
2015,1601002,25-44,OTHER OFFENSE,11
2016,1601002,25-44,OTHER OFFENSE,6
2015,1601002,25-44,ROBBERY,4
2016,1601002,25-44,ROBBERY,7
2015,1601002,25-44,SEX OFFENSE,2
2015,1601002,25-44,THEFT,56
2016,1601002,25-44,THEFT,19
2015,1601002,25-44,WEAPONS VIOLATION,1
2016,1601002,25-44,WEAPONS VIOLATION,1
2015,1602003,25-44,ARSON,1
2016,1602003,25-44,ARSON,1
2015,1602003,25-44,ASSAULT,13
2016,1602003,25-44,ASSAULT,7
2015,1602003,25-44,BATTERY,49
2016,1602003,25-44,BATTERY,18
2015,1602003,25-44,BURGLARY,17
2016,1602003,25-44,BURGLARY,9
2015,1602003,25-44,CRIM SEXUAL ASSAULT,1
2015,1602003,25-44,CRIMINAL DAMAGE,44
2016,1602003,25-44,CRIMINAL DAMAGE,23
2015,1602003,25-44,CRIMINAL TRESPASS,3
2016,1602003,25-44,CRIMINAL TRESPASS,2
2014,1602003,25-44,DECEPTIVE PRACTICE,1
2015,1602003,25-44,DECEPTIVE PRACTICE,20
2016,1602003,25-44,DECEPTIVE PRACTICE,12
2015,1602003,25-44,MOTOR VEHICLE THEFT,21
2016,1602003,25-44,MOTOR VEHICLE THEFT,8
2015,1602003,25-44,NARCOTICS,9
2016,1602003,25-44,NARCOTICS,2
2015,1602003,25-44,OFFENSE INVOLVING CHILDREN,5
2016,1602003,25-44,OFFENSE INVOLVING CHILDREN,2
2015,1602003,25-44,OTHER OFFENSE,15
2016,1602003,25-44,OTHER OFFENSE,7
2015,1602003,25-44,ROBBERY,10
2016,1602003,25-44,ROBBERY,4
2015,1602003,25-44,SEX OFFENSE,1
2016,1602003,25-44,SEX OFFENSE,1
2015,1602003,25-44,THEFT,70
2016,1602003,25-44,THEFT,26
2015,1602003,25-44,WEAPONS VIOLATION,1
2016,1602003,25-44,WEAPONS VIOLATION,3
2015,1602004,45-64,ARSON,1
2015,1602004,45-64,ASSAULT,16
2016,1602004,45-64,ASSAULT,11
2015,1602004,45-64,BATTERY,65
2016,1602004,45-64,BATTERY,36
2015,1602004,45-64,BURGLARY,23
2016,1602004,45-64,BURGLARY,10
2017,1602004,45-64,BURGLARY,1
2015,1602004,45-64,CRIM SEXUAL ASSAULT,4
2016,1602004,45-64,CRIM SEXUAL ASSAULT,2
2015,1602004,45-64,CRIMINAL DAMAGE,53
2016,1602004,45-64,CRIMINAL DAMAGE,26
2015,1602004,45-64,CRIMINAL TRESPASS,6
2016,1602004,45-64,CRIMINAL TRESPASS,5
2015,1602004,45-64,DECEPTIVE PRACTICE,26
2016,1602004,45-64,DECEPTIVE PRACTICE,15
2015,1602004,45-64,INTERFERENCE WITH PUBLIC OFFICER,2
2015,1602004,45-64,INTIMIDATION,1
2015,1602004,45-64,MOTOR VEHICLE THEFT,14
2016,1602004,45-64,MOTOR VEHICLE THEFT,4
2015,1602004,45-64,NARCOTICS,16
2016,1602004,45-64,NARCOTICS,4
2015,1602004,45-64,OTHER OFFENSE,25
2016,1602004,45-64,OTHER OFFENSE,9
2015,1602004,45-64,PROSTITUTION,1
2015,1602004,45-64,PUBLIC PEACE VIOLATION,2
2015,1602004,45-64,ROBBERY,6
2016,1602004,45-64,ROBBERY,4
2015,1602004,45-64,THEFT,126
2016,1602004,45-64,THEFT,29
2018,1602004,45-64,THEFT,1
2015,1602004,45-64,WEAPONS VIOLATION,1
2015,1603001,25-44,ASSAULT,7
2016,1603001,25-44,ASSAULT,10
2015,1603001,25-44,BATTERY,39
2016,1603001,25-44,BATTERY,15
2018,1603001,25-44,BATTERY,1
2015,1603001,25-44,BURGLARY,17
2016,1603001,25-44,BURGLARY,9
2015,1603001,25-44,CRIMINAL DAMAGE,32
2016,1603001,25-44,CRIMINAL DAMAGE,21
2015,1603001,25-44,CRIMINAL TRESPASS,1
2016,1603001,25-44,CRIMINAL TRESPASS,3
2014,1603001,25-44,DECEPTIVE PRACTICE,1
2015,1603001,25-44,DECEPTIVE PRACTICE,14
2016,1603001,25-44,DECEPTIVE PRACTICE,7
2008,1603001,25-44,HOMICIDE,1
2016,1603001,25-44,INTERFERENCE WITH PUBLIC OFFICER,1
2015,1603001,25-44,KIDNAPPING,1
2015,1603001,25-44,MOTOR VEHICLE THEFT,13
2016,1603001,25-44,MOTOR VEHICLE THEFT,5
2018,1603001,25-44,MOTOR VEHICLE THEFT,2
2015,1603001,25-44,NARCOTICS,4
2016,1603001,25-44,NARCOTICS,3
2015,1603001,25-44,OFFENSE INVOLVING CHILDREN,2
2016,1603001,25-44,OFFENSE INVOLVING CHILDREN,1
2015,1603001,25-44,OTHER OFFENSE,10
2016,1603001,25-44,OTHER OFFENSE,8
2015,1603001,25-44,PUBLIC PEACE VIOLATION,2
2015,1603001,25-44,ROBBERY,3
2016,1603001,25-44,ROBBERY,4
2015,1603001,25-44,THEFT,71
2016,1603001,25-44,THEFT,19
2015,1603001,25-44,WEAPONS VIOLATION,1
2016,1603001,25-44,WEAPONS VIOLATION,1
2015,1603003,25-44,BATTERY,2
2016,1603003,25-44,BATTERY,1
2015,1603003,25-44,BURGLARY,1
2016,1603003,25-44,BURGLARY,1
2015,1603003,25-44,CRIMINAL DAMAGE,1
2016,1603003,25-44,CRIMINAL DAMAGE,1
2015,1603003,25-44,DECEPTIVE PRACTICE,1
2015,1603003,25-44,OTHER OFFENSE,2
2016,1603003,25-44,ROBBERY,1
2015,1603003,25-44,THEFT,1
2016,1603003,25-44,THEFT,1
2015,1608003,25-44,ASSAULT,8
2016,1608003,25-44,ASSAULT,4
2015,1608003,25-44,BATTERY,10
2016,1608003,25-44,BATTERY,2
2015,1608003,25-44,BURGLARY,6
2016,1608003,25-44,BURGLARY,1
2018,1608003,25-44,BURGLARY,1
2016,1608003,25-44,CRIM SEXUAL ASSAULT,2
2015,1608003,25-44,CRIMINAL DAMAGE,6
2016,1608003,25-44,CRIMINAL DAMAGE,4
2015,1608003,25-44,CRIMINAL TRESPASS,2
2016,1608003,25-44,CRIMINAL TRESPASS,1
2015,1608003,25-44,DECEPTIVE PRACTICE,8
2016,1608003,25-44,DECEPTIVE PRACTICE,5
2015,1608003,25-44,MOTOR VEHICLE THEFT,3
2016,1608003,25-44,MOTOR VEHICLE THEFT,3
2015,1608003,25-44,OFFENSE INVOLVING CHILDREN,1
2016,1608003,25-44,OFFENSE INVOLVING CHILDREN,1
2016,1608003,25-44,OTHER OFFENSE,2
2015,1608003,25-44,PUBLIC PEACE VIOLATION,2
2015,1608003,25-44,ROBBERY,2
2016,1608003,25-44,ROBBERY,2
2015,1608003,25-44,THEFT,45
2016,1608003,25-44,THEFT,19
2015,1608003,25-44,WEAPONS VIOLATION,1
2015,1610002,25-44,ASSAULT,8
2016,1610002,25-44,ASSAULT,2
2015,1610002,25-44,BATTERY,29
2016,1610002,25-44,BATTERY,11
2015,1610002,25-44,BURGLARY,6
2016,1610002,25-44,BURGLARY,3
2016,1610002,25-44,CRIM SEXUAL ASSAULT,2
2015,1610002,25-44,CRIMINAL DAMAGE,11
2016,1610002,25-44,CRIMINAL DAMAGE,5
2015,1610002,25-44,CRIMINAL TRESPASS,8
2016,1610002,25-44,CRIMINAL TRESPASS,5
2015,1610002,25-44,DECEPTIVE PRACTICE,11
2016,1610002,25-44,DECEPTIVE PRACTICE,3
2015,1610002,25-44,MOTOR VEHICLE THEFT,7
2015,1610002,25-44,NARCOTICS,3
2016,1610002,25-44,NARCOTICS,1
2015,1610002,25-44,OTHER OFFENSE,7
2016,1610002,25-44,OTHER OFFENSE,1
2015,1610002,25-44,PUBLIC PEACE VIOLATION,1
2016,1610002,25-44,PUBLIC PEACE VIOLATION,1
2015,1610002,25-44,ROBBERY,3
2016,1610002,25-44,ROBBERY,4
2015,1610002,25-44,THEFT,39
2016,1610002,25-44,THEFT,26
2015,1611002,25-44,ASSAULT,5
2016,1611002,25-44,ASSAULT,3
2015,1611002,25-44,BATTERY,22
2016,1611002,25-44,BATTERY,9
2018,1611002,25-44,BATTERY,1
2015,1611002,25-44,BURGLARY,5
2016,1611002,25-44,BURGLARY,7
2015,1611002,25-44,CRIM SEXUAL ASSAULT,1
2016,1611002,25-44,CRIM SEXUAL ASSAULT,1
2015,1611002,25-44,CRIMINAL DAMAGE,14
2016,1611002,25-44,CRIMINAL DAMAGE,4
2015,1611002,25-44,CRIMINAL TRESPASS,7
2014,1611002,25-44,DECEPTIVE PRACTICE,2
2015,1611002,25-44,DECEPTIVE PRACTICE,8
2016,1611002,25-44,DECEPTIVE PRACTICE,7
2008,1611002,25-44,HOMICIDE,1
2016,1611002,25-44,LIQUOR LAW VIOLATION,1
2015,1611002,25-44,MOTOR VEHICLE THEFT,10
2016,1611002,25-44,MOTOR VEHICLE THEFT,5
2015,1611002,25-44,NARCOTICS,5
2015,1611002,25-44,OFFENSE INVOLVING CHILDREN,2
2015,1611002,25-44,OTHER OFFENSE,2
2016,1611002,25-44,OTHER OFFENSE,5
2015,1611002,25-44,PUBLIC PEACE VIOLATION,2
2015,1611002,25-44,ROBBERY,3
2016,1611002,25-44,ROBBERY,2
2015,1611002,25-44,THEFT,44
2016,1611002,25-44,THEFT,16
2015,1611002,25-44,WEAPONS VIOLATION,1
2015,1701001,65+,ASSAULT,4
2016,1701001,65+,ASSAULT,1
2015,1701001,65+,BATTERY,7
2016,1701001,65+,BATTERY,2
2015,1701001,65+,BURGLARY,1
2016,1701001,65+,BURGLARY,1
2016,1701001,65+,CRIM SEXUAL ASSAULT,2
2015,1701001,65+,CRIMINAL DAMAGE,7
2016,1701001,65+,CRIMINAL DAMAGE,2
2015,1701001,65+,CRIMINAL TRESPASS,3
2014,1701001,65+,DECEPTIVE PRACTICE,1
2016,1701001,65+,DECEPTIVE PRACTICE,2
2015,1701001,65+,NARCOTICS,1
2015,1701001,65+,OFFENSE INVOLVING CHILDREN,1
2016,1701001,65+,OFFENSE INVOLVING CHILDREN,1
2015,1701001,65+,OTHER OFFENSE,3
2016,1701001,65+,OTHER OFFENSE,2
2015,1701001,65+,ROBBERY,1
2015,1701001,65+,THEFT,8
2016,1701001,65+,THEFT,5
2015,1702001,45-64,ASSAULT,2
2016,1702001,45-64,ASSAULT,1
2015,1702001,45-64,BATTERY,2
2016,1702001,45-64,BATTERY,1
2016,1702001,45-64,BURGLARY,1
2015,1702001,45-64,CRIMINAL DAMAGE,2
2016,1702001,45-64,DECEPTIVE PRACTICE,1
2015,1702001,45-64,MOTOR VEHICLE THEFT,1
2015,1702002,25-44,ASSAULT,1
2015,1702002,25-44,BATTERY,3
2015,1702002,25-44,CRIMINAL DAMAGE,2
2015,1702002,25-44,DECEPTIVE PRACTICE,1
2015,1702002,25-44,NARCOTICS,2
2016,1702002,25-44,OTHER OFFENSE,1
2015,1702002,25-44,THEFT,1
2015,1702003,45-64,ASSAULT,2
2016,1702003,45-64,ASSAULT,1
2015,1702003,45-64,BATTERY,6
2016,1702003,45-64,BATTERY,5
2015,1702003,45-64,BURGLARY,1
2016,1702003,45-64,BURGLARY,1
2015,1702003,45-64,CRIMINAL DAMAGE,8
2016,1702003,45-64,CRIMINAL DAMAGE,1
2015,1702003,45-64,CRIMINAL TRESPASS,1
2015,1702003,45-64,DECEPTIVE PRACTICE,2
2015,1702003,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2015,1702003,45-64,NARCOTICS,4
2016,1702003,45-64,NARCOTICS,1
2016,1702003,45-64,OFFENSE INVOLVING CHILDREN,1
2015,1702003,45-64,OTHER OFFENSE,1
2016,1702003,45-64,OTHER OFFENSE,2
2015,1702003,45-64,PUBLIC PEACE VIOLATION,1
2015,1702003,45-64,ROBBERY,1
2015,1702003,45-64,THEFT,12
2016,1702003,45-64,THEFT,4
2015,1703004,45-64,ASSAULT,6
2016,1703004,45-64,ASSAULT,4
2015,1703004,45-64,BATTERY,15
2016,1703004,45-64,BATTERY,10
2015,1703004,45-64,BURGLARY,5
2016,1703004,45-64,BURGLARY,3
2015,1703004,45-64,CRIM SEXUAL ASSAULT,1
2015,1703004,45-64,CRIMINAL DAMAGE,9
2016,1703004,45-64,CRIMINAL DAMAGE,10
2015,1703004,45-64,CRIMINAL TRESPASS,5
2016,1703004,45-64,CRIMINAL TRESPASS,6
2015,1703004,45-64,DECEPTIVE PRACTICE,6
2016,1703004,45-64,DECEPTIVE PRACTICE,3
2016,1703004,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2015,1703004,45-64,MOTOR VEHICLE THEFT,5
2016,1703004,45-64,MOTOR VEHICLE THEFT,4
2015,1703004,45-64,NARCOTICS,3
2015,1703004,45-64,OFFENSE INVOLVING CHILDREN,1
2015,1703004,45-64,OTHER OFFENSE,4
2016,1703004,45-64,OTHER OFFENSE,6
2015,1703004,45-64,PUBLIC PEACE VIOLATION,1
2016,1703004,45-64,PUBLIC PEACE VIOLATION,1
2015,1703004,45-64,ROBBERY,1
2016,1703004,45-64,ROBBERY,2
2015,1703004,45-64,THEFT,31
2016,1703004,45-64,THEFT,11
2015,1704001,25-44,ARSON,2
2015,1704001,25-44,ASSAULT,32
2016,1704001,25-44,ASSAULT,19
2018,1704001,25-44,ASSAULT,2
2015,1704001,25-44,BATTERY,118
2016,1704001,25-44,BATTERY,75
2018,1704001,25-44,BATTERY,2
2015,1704001,25-44,BURGLARY,62
2016,1704001,25-44,BURGLARY,46
2015,1704001,25-44,CRIM SEXUAL ASSAULT,4
2015,1704001,25-44,CRIMINAL DAMAGE,102
2016,1704001,25-44,CRIMINAL DAMAGE,66
2015,1704001,25-44,CRIMINAL TRESPASS,23
2016,1704001,25-44,CRIMINAL TRESPASS,11
2014,1704001,25-44,DECEPTIVE PRACTICE,2
2015,1704001,25-44,DECEPTIVE PRACTICE,64
2016,1704001,25-44,DECEPTIVE PRACTICE,42
2018,1704001,25-44,DECEPTIVE PRACTICE,1
2015,1704001,25-44,INTERFERENCE WITH PUBLIC OFFICER,3
2016,1704001,25-44,KIDNAPPING,1
2015,1704001,25-44,MOTOR VEHICLE THEFT,42
2016,1704001,25-44,MOTOR VEHICLE THEFT,20
2015,1704001,25-44,NARCOTICS,21
2016,1704001,25-44,NARCOTICS,6
2015,1704001,25-44,OFFENSE INVOLVING CHILDREN,5
2016,1704001,25-44,OFFENSE INVOLVING CHILDREN,1
2015,1704001,25-44,OTHER NARCOTIC VIOLATION,1
2001,1704001,25-44,OTHER OFFENSE,1
2015,1704001,25-44,OTHER OFFENSE,55
2016,1704001,25-44,OTHER OFFENSE,21
2018,1704001,25-44,OTHER OFFENSE,1
2015,1704001,25-44,PUBLIC PEACE VIOLATION,4
2016,1704001,25-44,PUBLIC PEACE VIOLATION,1
2015,1704001,25-44,ROBBERY,29
2016,1704001,25-44,ROBBERY,16
2015,1704001,25-44,SEX OFFENSE,3
2016,1704001,25-44,SEX OFFENSE,1
2015,1704001,25-44,STALKING,3
2001,1704001,25-44,THEFT,1
2015,1704001,25-44,THEFT,227
2016,1704001,25-44,THEFT,116
2018,1704001,25-44,THEFT,2
2015,1704001,25-44,WEAPONS VIOLATION,3
2016,1704001,25-44,WEAPONS VIOLATION,4
2016,1704004,45-64,ARSON,1
2015,1704004,45-64,ASSAULT,1
2016,1704004,45-64,ASSAULT,1
2015,1704004,45-64,BATTERY,11
2016,1704004,45-64,BATTERY,3
2015,1704004,45-64,BURGLARY,2
2016,1704004,45-64,BURGLARY,5
2015,1704004,45-64,CRIMINAL DAMAGE,7
2016,1704004,45-64,CRIMINAL DAMAGE,6
2018,1704004,45-64,CRIMINAL DAMAGE,1
2015,1704004,45-64,CRIMINAL TRESPASS,1
2014,1704004,45-64,DECEPTIVE PRACTICE,1
2015,1704004,45-64,DECEPTIVE PRACTICE,3
2016,1704004,45-64,DECEPTIVE PRACTICE,3
2016,1704004,45-64,MOTOR VEHICLE THEFT,1
2015,1704004,45-64,NARCOTICS,1
2015,1704004,45-64,OTHER OFFENSE,3
2015,1704004,45-64,ROBBERY,2
2016,1704004,45-64,ROBBERY,1
2015,1704004,45-64,THEFT,5
2016,1704004,45-64,THEFT,2
2016,1705001,45-64,ARSON,1
2015,1705001,45-64,ASSAULT,6
2016,1705001,45-64,ASSAULT,2
2015,1705001,45-64,BATTERY,13
2016,1705001,45-64,BATTERY,7
2015,1705001,45-64,BURGLARY,8
2016,1705001,45-64,BURGLARY,3
2015,1705001,45-64,CRIM SEXUAL ASSAULT,1
2015,1705001,45-64,CRIMINAL DAMAGE,7
2016,1705001,45-64,CRIMINAL DAMAGE,6
2015,1705001,45-64,CRIMINAL TRESPASS,1
2016,1705001,45-64,CRIMINAL TRESPASS,1
2015,1705001,45-64,DECEPTIVE PRACTICE,2
2016,1705001,45-64,DECEPTIVE PRACTICE,1
2015,1705001,45-64,GAMBLING,1
2016,1705001,45-64,GAMBLING,1
2015,1705001,45-64,INTERFERENCE WITH PUBLIC OFFICER,1
2015,1705001,45-64,MOTOR VEHICLE THEFT,4
2016,1705001,45-64,MOTOR VEHICLE THEFT,1
2016,1705001,45-64,NARCOTICS,1
2016,1705001,45-64,OFFENSE INVOLVING CHILDREN,1
2015,1705001,45-64,OTHER OFFENSE,6
2016,1705001,45-64,OTHER OFFENSE,4
2015,1705001,45-64,THEFT,10
2016,1705001,45-64,THEFT,6
2015,1705001,45-64,WEAPONS VIOLATION,1
2015,1705002,45-64,ASSAULT,2
2016,1705002,45-64,ASSAULT,4
2015,1705002,45-64,BATTERY,12
2016,1705002,45-64,BATTERY,9
2015,1705002,45-64,BURGLARY,3
2016,1705002,45-64,BURGLARY,4
2015,1705002,45-64,CRIMINAL DAMAGE,7
2016,1705002,45-64,CRIMINAL DAMAGE,1
2015,1705002,45-64,CRIMINAL TRESPASS,4
2016,1705002,45-64,CRIMINAL TRESPASS,4
2015,1705002,45-64,DECEPTIVE PRACTICE,6
2016,1705002,45-64,DECEPTIVE PRACTICE,1
2016,1705002,45-64,GAMBLING,1
2016,1705002,45-64,MOTOR VEHICLE THEFT,1
2015,1705002,45-64,NARCOTICS,3
2015,1705002,45-64,OTHER OFFENSE,7
2016,1705002,45-64,OTHER OFFENSE,1
2015,1705002,45-64,PUBLIC PEACE VIOLATION,1
2015,1705002,45-64,ROBBERY,3
2015,1705002,45-64,THEFT,8
2016,1705002,45-64,THEFT,5
2015,1705003,45-64,ASSAULT,1
2015,1705003,45-64,BATTERY,8
2016,1705003,45-64,BATTERY,3
2015,1705003,45-64,BURGLARY,6
2016,1705003,45-64,BURGLARY,2
2018,1705003,45-64,BURGLARY,1
2015,1705003,45-64,CRIMINAL DAMAGE,9
2016,1705003,45-64,CRIMINAL DAMAGE,4
2015,1705003,45-64,CRIMINAL TRESPASS,1
2015,1705003,45-64,DECEPTIVE PRACTICE,4
2016,1705003,45-64,DECEPTIVE PRACTICE,2
2015,1705003,45-64,MOTOR VEHICLE THEFT,1
2016,1705003,45-64,MOTOR VEHICLE THEFT,1
2016,1705003,45-64,NARCOTICS,1
2015,1705003,45-64,OFFENSE INVOLVING CHILDREN,1
2015,1705003,45-64,OTHER OFFENSE,5
2016,1705003,45-64,OTHER OFFENSE,1
2015,1705003,45-64,SEX OFFENSE,1
2015,1705003,45-64,THEFT,5
2016,1705003,45-64,THEFT,2
2015,1705003,45-64,WEAPONS VIOLATION,1
2015,1705004,25-44,ASSAULT,6
2016,1705004,25-44,ASSAULT,4
2015,1705004,25-44,BATTERY,21
2016,1705004,25-44,BATTERY,8
2015,1705004,25-44,BURGLARY,13
2016,1705004,25-44,BURGLARY,3
2015,1705004,25-44,CRIMINAL DAMAGE,22
2016,1705004,25-44,CRIMINAL DAMAGE,9
2015,1705004,25-44,CRIMINAL TRESPASS,6
2016,1705004,25-44,CRIMINAL TRESPASS,3
2015,1705004,25-44,DECEPTIVE PRACTICE,13
2016,1705004,25-44,DECEPTIVE PRACTICE,8
2015,1705004,25-44,MOTOR VEHICLE THEFT,6
2016,1705004,25-44,MOTOR VEHICLE THEFT,5
2015,1705004,25-44,NARCOTICS,8
2016,1705004,25-44,NARCOTICS,2
2016,1705004,25-44,OFFENSE INVOLVING CHILDREN,3
2015,1705004,25-44,OTHER OFFENSE,15
2016,1705004,25-44,OTHER OFFENSE,14
2015,1705004,25-44,PUBLIC PEACE VIOLATION,1
2016,1705004,25-44,PUBLIC PEACE VIOLATION,2
2015,1705004,25-44,ROBBERY,1
2016,1705004,25-44,ROBBERY,1
2015,1705004,25-44,SEX OFFENSE,2
2016,1705004,25-44,SEX OFFENSE,1
2015,1705004,25-44,THEFT,26
2016,1705004,25-44,THEFT,8
2015,1705004,25-44,WEAPONS VIOLATION,1
2015,1706001,25-44,ASSAULT,2
2015,1706001,25-44,BATTERY,3
2015,1706001,25-44,BURGLARY,3
2016,1706001,25-44,BURGLARY,2
2015,1706001,25-44,CRIMINAL DAMAGE,7
2016,1706001,25-44,CRIMINAL DAMAGE,2
2015,1706001,25-44,DECEPTIVE PRACTICE,2
2015,1706001,25-44,LIQUOR LAW VIOLATION,1
2015,1706001,25-44,MOTOR VEHICLE THEFT,2
2015,1706001,25-44,NARCOTICS,1
2015,1706001,25-44,OTHER OFFENSE,2
2016,1706001,25-44,OTHER OFFENSE,1
2015,1706001,25-44,THEFT,5
2016,1706001,25-44,THEFT,1
2015,1706002,25-44,ASSAULT,12
2016,1706002,25-44,ASSAULT,2
2015,1706002,25-44,BATTERY,24
2016,1706002,25-44,BATTERY,11
2015,1706002,25-44,BURGLARY,4
2016,1706002,25-44,BURGLARY,3
2016,1706002,25-44,CRIM SEXUAL ASSAULT,2
2015,1706002,25-44,CRIMINAL DAMAGE,20
2016,1706002,25-44,CRIMINAL DAMAGE,10
2015,1706002,25-44,CRIMINAL TRESPASS,1
2016,1706002,25-44,CRIMINAL TRESPASS,4
2015,1706002,25-44,DECEPTIVE PRACTICE,6
2016,1706002,25-44,DECEPTIVE PRACTICE,7
2015,1706002,25-44,GAMBLING,1
2015,1706002,25-44,KIDNAPPING,2
2016,1706002,25-44,KIDNAPPING,1
2015,1706002,25-44,LIQUOR LAW VIOLATION,1
2015,1706002,25-44,MOTOR VEHICLE THEFT,3
2016,1706002,25-44,MOTOR VEHICLE THEFT,5
2015,1706002,25-44,NARCOTICS,4
2016,1706002,25-44,NARCOTICS,2
2015,1706002,25-44,OFFENSE INVOLVING CHILDREN,4
2016,1706002,25-44,OFFENSE INVOLVING CHILDREN,1
2015,1706002,25-44,OTHER OFFENSE,11
2016,1706002,25-44,OTHER OFFENSE,6
2015,1706002,25-44,PUBLIC PEACE VIOLATION,1
2016,1706002,25-44,PUBLIC PEACE VIOLATION,1
2016,1706002,25-44,ROBBERY,2
2015,1706002,25-44,THEFT,19
2016,1706002,25-44,THEFT,4
2015,1707002,25-44,OFFENSE INVOLVING CHILDREN,1
2015,1707003,45-64,ASSAULT,11
2016,1707003,45-64,ASSAULT,3
2015,1707003,45-64,BATTERY,27
2016,1707003,45-64,BATTERY,10
2015,1707003,45-64,BURGLARY,14
2016,1707003,45-64,BURGLARY,7
2015,1707003,45-64,CRIMINAL DAMAGE,22
2016,1707003,45-64,CRIMINAL DAMAGE,8
2015,1707003,45-64,CRIMINAL TRESPASS,4
2016,1707003,45-64,CRIMINAL TRESPASS,5
2015,1707003,45-64,DECEPTIVE PRACTICE,9
2016,1707003,45-64,DECEPTIVE PRACTICE,6
2015,1707003,45-64,GAMBLING,2
2015,1707003,45-64,MOTOR VEHICLE THEFT,12
2016,1707003,45-64,MOTOR VEHICLE THEFT,3
2018,1707003,45-64,MOTOR VEHICLE THEFT,1
2015,1707003,45-64,NARCOTICS,6
2016,1707003,45-64,NARCOTICS,2
2015,1707003,45-64,OFFENSE INVOLVING CHILDREN,1
2015,1707003,45-64,OTHER OFFENSE,8
2016,1707003,45-64,OTHER OFFENSE,4
2015,1707003,45-64,PUBLIC PEACE VIOLATION,1
2015,1707003,45-64,ROBBERY,3
2016,1707003,45-64,ROBBERY,2
2015,1707003,45-64,THEFT,28
2016,1707003,45-64,THEFT,19
2015,1708001,25-44,ASSAULT,1
2015,1708001,25-44,BATTERY,3
2016,1708001,25-44,BATTERY,5
2016,1708001,25-44,BURGLARY,1
2015,1708001,25-44,CRIMINAL DAMAGE,3
2016,1708001,25-44,CRIMINAL DAMAGE,1
2015,1708001,25-44,CRIMINAL TRESPASS,1
2015,1708001,25-44,DECEPTIVE PRACTICE,1
2015,1708001,25-44,NARCOTICS,1
2016,1708001,25-44,NARCOTICS,1
2015,1708001,25-44,OTHER OFFENSE,1
2016,1708001,25-44,OTHER OFFENSE,1
2015,1708001,25-44,THEFT,4
2016,1708001,25-44,THEFT,2
2015,1708002,45-64,ARSON,5
2015,1708002,45-64,ASSAULT,32
2016,1708002,45-64,ASSAULT,22
2018,1708002,45-64,ASSAULT,1
2015,1708002,45-64,BATTERY,178
2016,1708002,45-64,BATTERY,77
2018,1708002,45-64,BATTERY,1
2015,1708002,45-64,BURGLARY,84
2016,1708002,45-64,BURGLARY,68
